Indo-European,Afro-Asiatic,Turkic,Sino-Tibetian,Austronesian,Niger–Congo,Quechuan,Uralic,Kartvelian,French Creole,Japonic,Kra-Dai,Altaic,Tupian,Aymaran,Japanese,Koreanic,Dravidian,Indo-European_T,Afro-Asiatic_T,Turkic_T,Sino-Tibetian_T,Austronesian_T,Niger–Congo_T,Quechuan_T,Uralic_T,Kartvelian_T,French Creole_T,Japonic_T,Kra-Dai_T,Altaic_T,Tupian_T,Aymaran_T,Japanese_T,Koreanic_T,Dravidian_T
INFP,INFP,INFP,INFP,INFP,ESFJ,ENFP,INFP,INFP,ENFP,INFP,ENFP,INFP,INFP,INFP,INFP,INFP,INFP,16.466599999999996,2.745699999999999,0.6412999999999995,0.5599,1.5268999999999997,0.9879999999999999,0.2949,0.5139,0.10939999999999989,0.5377999999999996,0.1644,0.2736999999999999,0.10669999999999999,0.17109999999999997,0.15589999999999998,0.1339,0.1339,0.2894
ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,INFP,ENFP,INTP,INFP,ENFP,INFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,14.667,2.5698999999999983,0.6386999999999998,0.4687999999999999,1.2738999999999998,0.8239999999999994,0.2946,0.3797999999999998,0.1066,0.5087,0.1378,0.2627999999999998,0.09659999999999999,0.12819999999999998,0.14839999999999998,0.126,0.126,0.2694
ESFJ,INTP,INTP,ESFJ,ESFJ,INFP,INTP,INTP,ENFP,ESFJ,INTP,ESFJ,ENFJ,INTP,INTP,ESFJ,ESFJ,ESFJ,9.996999999999996,1.7674999999999996,0.4805999999999999,0.4303999999999998,1.0100999999999998,0.7392999999999998,0.1735999999999999,0.2809,0.09069999999999989,0.39629999999999993,0.0718999999999999,0.2132,0.0823,0.1045999999999999,0.0928,0.08349999999999999,0.08349999999999999,0.1976
INFJ,ESFJ,ESFJ,ISFJ,ISFJ,ISFJ,ESFJ,INFJ,ENTP,ENFJ,ISFJ,ESFP,ESFJ,INTJ,ESFJ,ISFJ,ISFJ,ISFJ,8.917899999999996,1.7134999999999998,0.4683,0.3658999999999998,0.7958999999999997,0.6594999999999998,0.1474999999999999,0.2494,0.0848,0.31,0.0682,0.1516,0.0764,0.0727,0.07339999999999999,0.07659999999999989,0.07659999999999989,0.1672999999999999
INTP,ENFJ,ENFJ,ISFP,ISFP,ENFJ,ENFJ,ENTP,INTJ,INFJ,INFJ,ISFJ,INTP,INFJ,ENFJ,ISFP,ISFP,ISFP,8.557199999999995,1.5679999999999996,0.4416999999999998,0.3259999999999996,0.7404999999999996,0.6096999999999998,0.143,0.18180000000000002,0.07780000000000001,0.2981999999999999,0.0678999999999999,0.15,0.0726,0.0717,0.0726,0.06609999999999999,0.06609999999999999,0.1515999999999999
ENFJ,INFJ,ESTJ,ESFP,INFJ,INFJ,INFJ,ENFJ,ESTJ,ISFJ,ESFJ,ENFJ,ESTJ,ENTP,INFJ,ESFP,ESFP,ESFP,8.462799999999996,1.5478,0.4353999999999998,0.2974,0.7172999999999998,0.5580999999999998,0.1294999999999999,0.1728,0.0714999999999999,0.28489999999999993,0.0674999999999999,0.1417999999999999,0.0670999999999999,0.0683999999999999,0.0647999999999999,0.0635999999999999,0.0635999999999999,0.1476
ISFJ,ENTP,ENTP,INFJ,ESFP,ESTJ,ENTP,ISFJ,ENTJ,ESFP,ISFP,INFJ,INFJ,ENFJ,ENTP,INTP,INTP,INFJ,7.486899999999999,1.3875999999999997,0.42199999999999976,0.24399999999999988,0.7150999999999995,0.5290999999999999,0.1273,0.1649999999999999,0.0648999999999999,0.2344,0.0673999999999999,0.1339,0.0653,0.0589,0.06309999999999999,0.0627999999999999,0.0627999999999999,0.13690000000000002
ENTP,INTJ,INFJ,ENFJ,ENFJ,ESFP,ESFP,INTJ,INFJ,ENTP,ESFP,INTP,INTJ,ENTJ,INTJ,INFJ,INFJ,ENFJ,6.699099999999997,1.1645999999999994,0.3578999999999998,0.2125999999999996,0.6464999999999999,0.4480999999999996,0.1009999999999999,0.1596999999999999,0.0644,0.2052999999999999,0.060200000000000004,0.1098,0.0586999999999999,0.0419,0.050199999999999995,0.0625,0.0625,0.1339999999999999
ESFP,ESTJ,ENTJ,INTP,INTP,ENTP,INTJ,ESFJ,ENFJ,ISFP,ENFJ,ISFP,ENTP,ISFP,ISFJ,ENFJ,ENFJ,INTP,5.770999999999996,1.1515999999999997,0.3311999999999999,0.2093999999999999,0.5112999999999998,0.4182999999999998,0.1001999999999999,0.1585,0.057699999999999904,0.2023999999999999,0.0559,0.1096999999999999,0.0558,0.0409999999999999,0.0455,0.0609,0.0609,0.09459999999999999
ESTJ,ISFJ,ISFJ,ESTJ,ESTJ,ISFP,ISFJ,ISFP,ESFJ,ESTJ,ENTP,ESTJ,ISFJ,ISFJ,ESFP,ENTP,ENTP,ESTJ,5.760399999999997,1.1491999999999993,0.3220999999999998,0.19329999999999992,0.3824999999999995,0.37629999999999963,0.0955,0.1331,0.053500000000000006,0.20069999999999988,0.0519,0.0893,0.052399999999999995,0.0402,0.0433,0.0503999999999999,0.0503999999999999,0.0812999999999999
