CODE,Family,Genus,Country,MAX_0,MAX_1,MAX_2,MAX_3,MAX_4,MAX_5,MAX_6,MAX_7,MIN_0,MIN_1,MIN_2,MIN_3,MIN_4,MIN_5,MIN_6,MIN_7,Languages,Region,GDP_growth,Inflation_rate,Life_expectancy,GDP_per_capita_$,GDP_10^9_$,Population,Unemployment_rate,Population_growth_rate,migration_rate
AFG,Indo-European,Iranian,Afghanistan,ESTJ,ESFJ,ENFP,INFP,ESTP,ISTJ,ISFJ,ENFJ,INTJ,ISTP,ISFP,INFJ,ENTP,ENTJ,ESFP,INTP,"Pashto, Dari",South Asia,2.7,5.0,53.65,2000.0,77.04,38346720,23.9,2.3,-0.1
ALB,Indo-European,Albanian,Albania,INFP,ENFP,ENTP,ENFJ,INTP,INFJ,ENTJ,ESTJ,ISTP,ISFP,ESTP,ESFP,ISTJ,ISFJ,INTJ,ESFJ,Albanian,Europe,2.24,1.4,79.47,13300.0,37.73,3095344,5.83,0.22,-3.23
DZA,Afro-Asiatic,"Berber, Semitic",Algeria,INFP,INTP,INTJ,ENFP,INFJ,ENTP,ENFJ,ENTJ,ESTP,ESFP,ISTJ,ESTJ,ISTP,ISFJ,ISFP,ESFJ,"Arabic, Tamazight",Africa,1.4,1.9,78.03,10700.0,468.4,44178884,11.7,1.34,-0.82
AND,Indo-European,Romance,Andorra,ENFP,INFP,ENFJ,INFJ,ESFJ,ESTJ,INTP,ENTJ,ISTP,ESTP,ISTJ,INTJ,ENTP,ESFP,ISFP,ENTJ,Catalan,Europe,-1.1,-0.9,83.42,49900.0,3.327,85560,3.7,-0.1,0.0
AGO,Indo-European,Romance,Angola,ESFJ,INFP,ENFJ,ENFP,INFJ,ISFJ,ESTJ,INTP,ISTP,ESTP,ISFP,ISTJ,ENTP,INTJ,ENTJ,ESFP,Portuguese,Africa,-2.5,17.2,62.11,6200.0,203.71,34795287,6.6,3.36,-0.19
ATG,Indo-European,Germanic,Antigua and Barbuda,INFP,ENFP,ESFJ,ISFJ,INFJ,INTP,ENFJ,ISFP,ESTP,ENTJ,ISTP,INTJ,ESTJ,ISTJ,ENTP,ESFP,English,Central America and the Caribbean,2.8,2.5,77.8,18000.0,1.76,100335,11.0,1.15,2.03
ARG,Indo-European,Romance,Argentina,INFP,ENFP,INTP,INFJ,INTJ,ENFJ,ENTP,ESFJ,ESTP,ESTJ,ISTP,ENTJ,ISTJ,ESFP,ISFP,ISFJ,Spanish,South America,-2.03,25.7,78.31,19700.0,893.31,46245668,9.84,0.82,-0.08
ARM,Indo-European,Armenian,Armenia,INFP,ENFP,INTP,ENTP,ENFJ,ESTJ,INFJ,INTJ,ISTP,ESFP,ISFP,ESTP,ISTJ,ISFJ,ESFJ,ENTJ,Armenian,Middle East,7.5,1.4,76.13,12600.0,37.31,3000756,18.9,-0.38,-5.36
AUS,Indo-European,Germanic,Australia,INFP,ENFP,ESFJ,ISFJ,ENFJ,INFJ,ESFP,ISFP,ISTP,ESTP,ENTJ,INTJ,ISTJ,ESTJ,ENTP,INTP,English,Australia and Oceania,1.84,1.6,83.09,48700.0,1250.9,26141369,5.16,1.25,6.93
AUT,Indo-European,Germanic,Austria,INFP,ENFP,INTP,INFJ,ENFJ,ENTP,ESFJ,INTJ,ISTP,ESTP,ISTJ,ENTJ,ESFP,ISFP,ESTJ,ISFJ,German,Europe,1.42,1.5,82.27,51900.0,463.12,8913088,7.35,0.32,3.55
